"標題","連結","日期",
"上市公司（金融控股公司）111年第3季財務報告之每股淨值資料符合應暫停及恢復融資融券交易之名單","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184e6e1759100d8","111年12月06日",
"上週外資在集中市場買超328.59億元，買超新光金7.71萬張最多，另賣超中鋼3.45萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184e0e1c26100ce","111年12月05日",
"證交所宅在家學習網12月份介紹臺灣創新板","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184dff3640b00be","111年12月05日",
"本週發行量加權股價指數漲幅約為1.30%，上市股票總市值達46.79兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184d208fec100b9","111年12月02日",
"證交所111年度上市公司業務宣導會圓滿落幕","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184cd4466db00a5","111年12月01日",
"元大證券發行之元大加權指數掩護性臺指買權價外5%報酬指數ETN，將於12月5日掛牌上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184cd41762800a1","111年12月01日",
"臺灣證券交易所對金麗集團控股有限公司（金麗-KY，公司代號: 8429）違反重大訊息規定，處以新臺幣3萬元之違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184cd0c019f009c","111年12月01日",
"111年截至11月底權證發行與交易統計","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184ccdd00750096","111年12月01日",
"111年11月份權證發行與交易統計","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184ccd3fc6f0092","111年12月01日",
"「展達通訊股份有限公司」（證券代號：3447）採競價拍賣方式辦理承銷，於今(12/1)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184cc6ff1580080","111年12月01日",
"「保勝光學股份有限公司」（證券代號：6517）採競價拍賣方式辦理承銷，於今(12/1)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184cc678df7007c","111年12月01日",
